record_type,tour_name,destination,country,city_region,tour_type,season,recommended_for,duration_days,budget_level,hotel_category,meal_plan,faq_question,faq_answer,pre_departure_instruction,required_documents,cancellation_rule,refund_rule,change_rule,penalty_window,rag_text
знання про тур і напрям,"Пляжний тур: Туреччина, Анталія","Туреччина, Анталія",Туреччина,Анталія,пляжний,травень-жовтень,сімейний відпочинок,6,standard,4*,AI,"Що потрібно знати про багаж для туру в Туреччина, Анталія?","Для напрямку Туреччина (Анталія) менеджер має перевірити умови щодо теми 'багаж' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Туреччина клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: травень-жовтень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Туреччина, Анталія: при причині 'зміна дат' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний тур: Туреччина, Анталія' — напрям Туреччина, Анталія. Тип туру: пляжний, сезон: травень-жовтень, рекомендовано для: сімейний відпочинок, тривалість 6 днів, бюджет standard, готель 4*, харчування AI. FAQ: Що потрібно знати про багаж для туру в Туреччина, Анталія? Відповідь: Для напрямку Туреччина (Анталія) менеджер має перевірити умови щодо теми 'багаж' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Туреччина клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: травень-жовтень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Туреччина, Анталія: при причині 'зміна дат' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Пляжний тур: Єгипет, Хургада","Єгипет, Хургада",Єгипет,Хургада,пляжний,жовтень-квітень,all inclusive,7,premium,5*,AI,"Що потрібно знати про віза для туру в Єгипет, Хургада?","Для напрямку Єгипет (Хургада) менеджер має перевірити умови щодо теми 'віза' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Єгипет клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: жовтень-квітень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Єгипет, Хургада: при причині 'відмова клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний тур: Єгипет, Хургада' — напрям Єгипет, Хургада. Тип туру: пляжний, сезон: жовтень-квітень, рекомендовано для: all inclusive, тривалість 7 днів, бюджет premium, готель 5*, харчування AI. FAQ: Що потрібно знати про віза для туру в Єгипет, Хургада? Відповідь: Для напрямку Єгипет (Хургада) менеджер має перевірити умови щодо теми 'віза' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Єгипет клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: жовтень-квітень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Єгипет, Хургада: при причині 'відмова клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Пляжний+екскурсії тур: Греція, Крит","Греція, Крит",Греція,Крит,пляжний+екскурсії,травень-вересень,пари та сімʼї,8,luxury,3*,AI,"Що потрібно знати про страхування для туру в Греція, Крит?","Для напрямку Греція (Крит) менеджер має перевірити умови щодо теми 'страхування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Греція клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний+екскурсії' додатково уточнити сезонність: травень-вересень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Греція, Крит: при причині 'хвороба клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",повне повернення можливе лише до підтвердження постачальником,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний+екскурсії тур: Греція, Крит' — напрям Греція, Крит. Тип туру: пляжний+екскурсії, сезон: травень-вересень, рекомендовано для: пари та сімʼї, тривалість 8 днів, бюджет luxury, готель 3*, харчування AI. FAQ: Що потрібно знати про страхування для туру в Греція, Крит? Відповідь: Для напрямку Греція (Крит) менеджер має перевірити умови щодо теми 'страхування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Греція клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний+екскурсії' додатково уточнити сезонність: травень-вересень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Греція, Крит: при причині 'хвороба клієнта' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. повне повернення можливе лише до підтвердження постачальником зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський+пляжний тур: Іспанія, Барселона","Іспанія, Барселона",Іспанія,Барселона,міський+пляжний,квітень-жовтень,екскурсії,9,budget,4*,BB,"Що потрібно знати про трансфер для туру в Іспанія, Барселона?","Для напрямку Іспанія (Барселона) менеджер має перевірити умови щодо теми 'трансфер' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Іспанія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський+пляжний' додатково уточнити сезонність: квітень-жовтень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Іспанія, Барселона: при причині 'скасування рейсу' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський+пляжний тур: Іспанія, Барселона' — напрям Іспанія, Барселона. Тип туру: міський+пляжний, сезон: квітень-жовтень, рекомендовано для: екскурсії, тривалість 9 днів, бюджет budget, готель 4*, харчування BB. FAQ: Що потрібно знати про трансфер для туру в Іспанія, Барселона? Відповідь: Для напрямку Іспанія (Барселона) менеджер має перевірити умови щодо теми 'трансфер' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Іспанія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський+пляжний' додатково уточнити сезонність: квітень-жовтень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Іспанія, Барселона: при причині 'скасування рейсу' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Екскурсійний тур: Італія, Рим","Італія, Рим",Італія,Рим,екскурсійний,березень-листопад,культура,10,standard,5*,BB,"Що потрібно знати про check-in для туру в Італія, Рим?","Для напрямку Італія (Рим) менеджер має перевірити умови щодо теми 'check-in' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Італія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екскурсійний' додатково уточнити сезонність: березень-листопад.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Італія, Рим: при причині 'зміна готелю' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Екскурсійний тур: Італія, Рим' — напрям Італія, Рим. Тип туру: екскурсійний, сезон: березень-листопад, рекомендовано для: культура, тривалість 10 днів, бюджет standard, готель 5*, харчування BB. FAQ: Що потрібно знати про check-in для туру в Італія, Рим? Відповідь: Для напрямку Італія (Рим) менеджер має перевірити умови щодо теми 'check-in' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Італія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екскурсійний' додатково уточнити сезонність: березень-листопад. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Італія, Рим: при причині 'зміна готелю' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський тур: Франція, Париж","Франція, Париж",Франція,Париж,міський,березень-грудень,романтичний тур,11,premium,3*,BB,"Що потрібно знати про скасування для туру в Франція, Париж?","Для напрямку Франція (Париж) менеджер має перевірити умови щодо теми 'скасування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Франція клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: березень-грудень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Франція, Париж: при причині 'форс-мажор' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",повне повернення можливе лише до підтвердження постачальником,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський тур: Франція, Париж' — напрям Франція, Париж. Тип туру: міський, сезон: березень-грудень, рекомендовано для: романтичний тур, тривалість 11 днів, бюджет premium, готель 3*, харчування BB. FAQ: Що потрібно знати про скасування для туру в Франція, Париж? Відповідь: Для напрямку Франція (Париж) менеджер має перевірити умови щодо теми 'скасування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Франція клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський' додатково уточнити сезонність: березень-грудень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Франція, Париж: при причині 'форс-мажор' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. повне повернення можливе лише до підтвердження постачальником зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Міський+пляжний тур: ОАЕ, Дубай","ОАЕ, Дубай",ОАЕ,Дубай,міський+пляжний,листопад-березень,шопінг і преміум,12,luxury,4*,BB,"Що потрібно знати про діти для туру в ОАЕ, Дубай?","Для напрямку ОАЕ (Дубай) менеджер має перевірити умови щодо теми 'діти' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в ОАЕ клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський+пляжний' додатково уточнити сезонність: листопад-березень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру ОАЕ, Дубай: при причині 'помилка в даних' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Міський+пляжний тур: ОАЕ, Дубай' — напрям ОАЕ, Дубай. Тип туру: міський+пляжний, сезон: листопад-березень, рекомендовано для: шопінг і преміум, тривалість 12 днів, бюджет luxury, готель 4*, харчування BB. FAQ: Що потрібно знати про діти для туру в ОАЕ, Дубай? Відповідь: Для напрямку ОАЕ (Дубай) менеджер має перевірити умови щодо теми 'діти' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в ОАЕ клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'міський+пляжний' додатково уточнити сезонність: листопад-березень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру ОАЕ, Дубай: при причині 'помилка в даних' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Екзотичний пляжний тур: Таїланд, Пхукет","Таїланд, Пхукет",Таїланд,Пхукет,екзотичний пляжний,листопад-квітень,довгий переліт,13,budget,5*,AI,"Що потрібно знати про тварини для туру в Таїланд, Пхукет?","Для напрямку Таїланд (Пхукет) менеджер має перевірити умови щодо теми 'тварини' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Таїланд клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екзотичний пляжний' додатково уточнити сезонність: листопад-квітень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Таїланд, Пхукет: при причині 'відмова у візі' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Екзотичний пляжний тур: Таїланд, Пхукет' — напрям Таїланд, Пхукет. Тип туру: екзотичний пляжний, сезон: листопад-квітень, рекомендовано для: довгий переліт, тривалість 13 днів, бюджет budget, готель 5*, харчування AI. FAQ: Що потрібно знати про тварини для туру в Таїланд, Пхукет? Відповідь: Для напрямку Таїланд (Пхукет) менеджер має перевірити умови щодо теми 'тварини' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Таїланд клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'екзотичний пляжний' додатково уточнити сезонність: листопад-квітень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Таїланд, Пхукет: при причині 'відмова у візі' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Пляжний тур: Чорногорія, Будва","Чорногорія, Будва",Чорногорія,Будва,пляжний,червень-вересень,бюджетний пляж,14,standard,3*,AI,"Що потрібно знати про доплати для туру в Чорногорія, Будва?","Для напрямку Чорногорія (Будва) менеджер має перевірити умови щодо теми 'доплати' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Чорногорія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: червень-вересень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Чорногорія, Будва: при причині 'несвоєчасна оплата' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",повне повернення можливе лише до підтвердження постачальником,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний тур: Чорногорія, Будва' — напрям Чорногорія, Будва. Тип туру: пляжний, сезон: червень-вересень, рекомендовано для: бюджетний пляж, тривалість 14 днів, бюджет standard, готель 3*, харчування AI. FAQ: Що потрібно знати про доплати для туру в Чорногорія, Будва? Відповідь: Для напрямку Чорногорія (Будва) менеджер має перевірити умови щодо теми 'доплати' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Чорногорія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний' додатково уточнити сезонність: червень-вересень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Чорногорія, Будва: при причині 'несвоєчасна оплата' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. повне повернення можливе лише до підтвердження постачальником зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
знання про тур і напрям,"Пляжний+екскурсії тур: Хорватія, Спліт","Хорватія, Спліт",Хорватія,Спліт,пляжний+екскурсії,травень-вересень,природа,5,premium,4*,AI,"Що потрібно знати про харчування для туру в Хорватія, Спліт?","Для напрямку Хорватія (Спліт) менеджер має перевірити умови щодо теми 'харчування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати.","За 72 години до поїздки в Хорватія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний+екскурсії' додатково уточнити сезонність: травень-вересень.",паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю,"Для туру Хорватія, Спліт: при причині 'зміна складу туристів' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення.",часткове повернення залежить від штрафів постачальника,зміна дат або туристів можлива після підтвердження постачальника,0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально,"Тур 'Пляжний+екскурсії тур: Хорватія, Спліт' — напрям Хорватія, Спліт. Тип туру: пляжний+екскурсії, сезон: травень-вересень, рекомендовано для: природа, тривалість 5 днів, бюджет premium, готель 4*, харчування AI. FAQ: Що потрібно знати про харчування для туру в Хорватія, Спліт? Відповідь: Для напрямку Хорватія (Спліт) менеджер має перевірити умови щодо теми 'харчування' у підтвердженні бронювання, правилах перевізника або готелю та повідомити клієнту фінальні вимоги до оплати. Інструкція перед виїздом: За 72 години до поїздки в Хорватія клієнт має перевірити паспорт, страховий поліс, ваучер, квитки, онлайн-реєстрацію та час трансферу. Для типу туру 'пляжний+екскурсії' додатково уточнити сезонність: травень-вересень. Документи: паспорт; страховий поліс; ваучер; авіаквитки; підтвердження готелю. Скасування/повернення: Для туру Хорватія, Спліт: при причині 'зміна складу туристів' менеджер перевіряє умови туроператора, готелю та авіакомпанії перед обіцянкою повернення. часткове повернення залежить від штрафів постачальника зміна дат або туристів можлива після підтвердження постачальника Штрафи: 0-7 днів до виїзду: високий штраф; 8-21 день: середній; 22+ дні: індивідуально."
